[17:43:17.280] [INFO   ] thread main starting.
[17:43:17.297] [SEVERE ] cannot read configuration file config.properties trying from resources.
[17:43:17.304] [SEVERE ] configuration file was loaded from resources directory.
[17:43:19.542] [SEVERE ] removing player 3 token from slot 8
[17:43:19.542] [SEVERE ] removing player 3 token from slot 0
[17:43:19.548] [SEVERE ] removing player 2 token from slot 11
[17:43:19.549] [SEVERE ] removing player 2 token from slot 11
[17:43:19.549] [SEVERE ] removing player 2 token from slot 9
[17:43:19.549] [SEVERE ] removing player 1 token from slot 9
[17:43:19.550] [SEVERE ] player 1 placing token on slot 2
[17:43:19.550] [SEVERE ] removing player 1 token from slot 1
[17:43:19.551] [SEVERE ] removing player 4 token from slot 11
[17:43:19.551] [SEVERE ] removing player 4 token from slot 6
[17:43:19.551] [SEVERE ] removing player 4 token from slot 2
[17:43:19.552] [SEVERE ] player 3 placing token on slot 4
[17:43:19.552] [SEVERE ] player 3 placing token on slot 3
[17:43:19.552] [SEVERE ] player 3 placing token on slot 0
[17:43:19.557] [SEVERE ] removing player 2 token from slot 7
[17:43:19.557] [SEVERE ] removing player 2 token from slot 10
[17:43:19.557] [SEVERE ] removing player 2 token from slot 1
[17:43:19.558] [SEVERE ] removing player 1 token from slot 5
[17:43:19.558] [SEVERE ] player 1 placing token on slot 0
[17:43:19.559] [SEVERE ] removing player 1 token from slot 7
[17:43:19.559] [SEVERE ] removing player 3 token from slot 11
[17:43:19.559] [SEVERE ] removing player 4 token from slot 8
[17:43:19.559] [SEVERE ] removing player 3 token from slot 0
[17:43:19.559] [SEVERE ] player 4 placing token on slot 0
[17:43:19.560] [SEVERE ] player 3 placing token on slot 1
[17:43:19.560] [SEVERE ] removing player 4 token from slot 0
[17:43:19.565] [SEVERE ] removing player 2 token from slot 5
[17:43:19.565] [SEVERE ] removing player 2 token from slot 7
[17:43:19.566] [SEVERE ] removing player 2 token from slot 5
[17:43:19.566] [SEVERE ] removing player 1 token from slot 7
[17:43:19.566] [SEVERE ] removing player 1 token from slot 2
[17:43:19.566] [SEVERE ] removing player 1 token from slot 11
[17:43:19.567] [SEVERE ] removing player 3 token from slot 11
[17:43:19.567] [SEVERE ] player 3 placing token on slot 0
[17:43:19.567] [SEVERE ] removing player 3 token from slot 5
[17:43:19.567] [SEVERE ] player 4 placing token on slot 0
[17:43:19.568] [SEVERE ] player 4 placing token on slot 3
[17:43:19.568] [SEVERE ] player 4 placing token on slot 1
[17:43:19.574] [SEVERE ] player 2 placing token on slot 1
[17:43:19.575] [SEVERE ] removing player 1 token from slot 9
[17:43:19.575] [SEVERE ] player 1 placing token on slot 2
[17:43:19.575] [SEVERE ] removing player 1 token from slot 7
[17:43:19.576] [SEVERE ] removing player 2 token from slot 9
[17:43:19.576] [SEVERE ] removing player 2 token from slot 5
[17:43:19.576] [SEVERE ] removing player 3 token from slot 7
[17:43:19.576] [SEVERE ] removing player 3 token from slot 10
[17:43:19.577] [SEVERE ] removing player 3 token from slot 4
[17:43:19.577] [SEVERE ] removing player 4 token from slot 7
[17:43:19.577] [SEVERE ] removing player 4 token from slot 8
[17:43:19.577] [SEVERE ] player 4 placing token on slot 2
[17:43:19.583] [SEVERE ] player 3 placing token on slot 4
[17:43:19.583] [SEVERE ] removing player 3 token from slot 0
[17:43:19.584] [SEVERE ] removing player 3 token from slot 9
[17:43:19.583] [SEVERE ] removing player 2 token from slot 0
[17:43:19.584] [SEVERE ] removing player 2 token from slot 5
[17:43:19.584] [SEVERE ] removing player 2 token from slot 1
[17:43:19.583] [SEVERE ] removing player 1 token from slot 2
[17:43:19.585] [SEVERE ] removing player 4 token from slot 1
[17:43:19.585] [SEVERE ] removing player 1 token from slot 8
[17:43:19.585] [SEVERE ] removing player 4 token from slot 0
[17:43:19.585] [SEVERE ] removing player 1 token from slot 9
[17:43:19.585] [SEVERE ] removing player 4 token from slot 7
[17:43:19.596] [SEVERE ] removing player 3 token from slot 9
[17:43:19.596] [SEVERE ] removing player 4 token from slot 7
[17:43:19.596] [SEVERE ] removing player 1 token from slot 5
[17:43:19.596] [SEVERE ] player 2 placing token on slot 4
[17:43:19.598] [SEVERE ] removing player 1 token from slot 11
[17:43:19.597] [SEVERE ] removing player 4 token from slot 6
[17:43:19.598] [SEVERE ] removing player 4 token from slot 9
[17:43:19.597] [SEVERE ] player 3 placing token on slot 2
[17:43:19.599] [SEVERE ] removing player 3 token from slot 4
[17:43:19.598] [SEVERE ] removing player 2 token from slot 9
[17:43:19.599] [SEVERE ] player 2 placing token on slot 0
[17:43:19.598] [SEVERE ] removing player 1 token from slot 0
[17:43:19.601] [SEVERE ] removing player 4 token from slot 2
[17:43:19.601] [SEVERE ] removing player 4 token from slot 6
[17:43:19.607] [SEVERE ] player 2 placing token on slot 2
[17:43:19.607] [SEVERE ] removing player 3 token from slot 5
[17:43:19.607] [SEVERE ] removing player 1 token from slot 6
[17:43:19.607] [SEVERE ] removing player 2 token from slot 9
[17:43:19.608] [SEVERE ] removing player 1 token from slot 11
[17:43:19.608] [SEVERE ] removing player 3 token from slot 9
[17:43:19.608] [SEVERE ] removing player 1 token from slot 8
[17:43:19.608] [SEVERE ] removing player 2 token from slot 11
[17:43:19.608] [SEVERE ] removing player 3 token from slot 2
[17:43:19.610] [SEVERE ] removing player 4 token from slot 6
[17:43:19.610] [SEVERE ] removing player 4 token from slot 5
[17:43:19.610] [SEVERE ] removing player 4 token from slot 10
[17:43:19.614] [SEVERE ] player 1 placing token on slot 0
[17:43:19.614] [SEVERE ] removing player 1 token from slot 5
[17:43:19.614] [SEVERE ] removing player 3 token from slot 7
[17:43:19.614] [SEVERE ] removing player 2 token from slot 6
[17:43:19.614] [SEVERE ] removing player 3 token from slot 5
[17:43:19.614] [SEVERE ] player 1 placing token on slot 2
[17:43:19.614] [SEVERE ] removing player 3 token from slot 9
[17:43:19.614] [SEVERE ] player 2 placing token on slot 1
[17:43:19.615] [SEVERE ] removing player 2 token from slot 4
[17:43:19.616] [SEVERE ] removing player 4 token from slot 10
[17:43:19.616] [SEVERE ] removing player 4 token from slot 3
[17:43:19.616] [SEVERE ] player 4 placing token on slot 1
[17:43:19.621] [SEVERE ] removing player 1 token from slot 5
[17:43:19.623] [SEVERE ] removing player 1 token from slot 0
